Data;RDM;Requisição/Incidente;Código/Fluxo/API;Descrição;Equipe;Responsável por implantar;Migration / Script;"PJE - Fluxo - API: pull request ; Conector pull request + pull request do PJe ";Link implantação / parâmetros /  tags (apis);Aculturamento;Obs;Problemas;Descrição Problema;Tipo
01/10/2025;"Com indisponibilidade
 21h-22h 
RDM2025.0007295
DISER-OPERAÇÃO: 18h
DIBDA: 18h";REQ2025.0203188;API;API Convenio - Ajuste na certidão de endereço;Equipe 4;Guilherme;Não ;https://dev.azure.com/pjerj/PJe/_git/integracao-api-convenios/pullrequest/23110;https://dev.azure.com/pjerj/PJe/_build/results?buildId=91410&view=results;;;;;
;;REQ2025.0299968;API;API Spring Config - Ajustes no properties da API PJe Reports (Corrige multipart e aumenta dias do relatório de acesso);Sustentação;Jorge Bilitário;Não ;https://dev.azure.com/pjerj/PJe/_git/integracao-pje-api-spring-cloud-config-properties/pullrequest/23213;;;;;;
;;INC2025.0137238;Código;PJe - Altera versao do conector do SCM;Sustentação;Jorge Bilitário;Não ;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/23245;;;;;;
;;INC2025.0137238;Conector;SCM - Melhora logs. Adiciona transacao quando necessario (job prazos nao processuais). Cria mandado expediente, em caso de erro anterior;Sustentação;Jorge Bilitário;Não ;https://dev.azure.com/pjerj/PJe/_git/integracao-pje-conector-scm/pullrequest/23216;;;;;;
;;INC2025.0141942;Código;Rollback [LOCAL][TJRJ] Melhoria na consulta de tarefas do painel de usuario usando parte do número do processo;Sustentação;Alberto ;Não ;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/22887;;;;;;
;;REQ2025.0050799;Código;"[PJEVII-5243][TJDFT] Colocar ao lado do campo ""Informar o nome social"" uma tooltip informativa";Equipe 1;Gabriel Nascimento;Não ;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/23178;;;;;;
;;REQ2025.0050799;Código;[PJEII-26161] Corrige caracteres com acento não exibidos corretamente;Equipe 1;Gabriel Nascimento;Não ;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/23178;;;;;;
;;REQ2025.0050799;Código;[PJEII-26169] [TRF1] BUGFIX-26105 Metodo obterIdsPessoasViaCpf esta com condicao invertida.;Equipe 1;Gabriel Nascimento;Não ;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/23178;;;;;;
;;REQ2025.0050799;Código;[PJEVII-5529] [TJDFT] Exceção ao alterar ordem de anexos ainda sem classificação;Equipe 1;Gabriel Nascimento;Não ;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/23178;;;;;;
;;REQ2025.0230484;Código;[TJRJ][LOCAL] Implementa job e tabela para arquivamento de comunicações com erro ao Domicílio Eletrônico;Equipe 3;Jônatas Pereira;Sim;https://dev.azure.com/pjerj/PJe/_git/PJe/pullrequest/23247;Plano de Implantação - Log Integração Histórico - Overview;N/A;;;;
